date,slot,JEPX_prediction,JEPX_actual,EPRX1_prediction,EPRX3_prediction,EPRX1_actual,EPRX3_actual,imbalance
2023/4/1,1,8.65,5.84,0,0,0,0,5.84
2023/4/1,2,9.86,9.4,0,0,0,0,9.4
2023/4/1,3,9.63,10.13,0,0,0,0,10.13
2023/4/1,4,9.57,10.13,0,0,0,0,10.13
2023/4/1,5,8.12,5.84,0,0,0,0,5.84
2023/4/1,6,8.4,5.84,0,0,0,0,5.84
2023/4/1,7,8.1,6,0,0,0,0,6
2023/4/1,8,9.25,7,0,0,0,0,7
2023/4/1,9,8.95,7,0,0,0,0,7
2023/4/1,10,9.36,7,0,0,0,0,7
2023/4/1,11,12.86,14.23,0,0,0,0,14.23
2023/4/1,12,14.16,14.59,0,0,0,0,14.59
2023/4/1,13,13.26,14.24,0,0,0,0,14.24
2023/4/1,14,9.96,9.62,0,0,0,0,9.62
2023/4/1,15,5.29,5.84,0,0,0,0,5.84
2023/4/1,16,2.3,0.01,0,0,0,0,0.01
2023/4/1,17,2.24,0.01,0,0,0,0,0.01
2023/4/1,18,3.25,0.01,0,0,0,0,0.01
2023/4/1,19,3.09,0.01,0,0,0,0,0.01
2023/4/1,20,2.98,0.01,0,0,0,0,0.01
2023/4/1,21,2.42,0.01,0,0,0,0,0.01
2023/4/1,22,2.57,0.01,0,0,0,0,0.01
2023/4/1,23,2.83,0.01,0,0,0,0,0.01
2023/4/1,24,2.92,0.01,0,0,0,0,0.01
2023/4/1,25,2.47,0.01,0,0,0,0,0.01
2023/4/1,26,2.32,0.01,0,0,0,0,0.01
2023/4/1,27,2.27,0.01,0,0,0,0,0.01
2023/4/1,28,2.32,0.01,0,0,0,0,0.01
2023/4/1,29,3.18,0.01,0,0,0,0,0.01
2023/4/1,30,2.18,0.01,0,0,0,0,0.01
2023/4/1,31,2.37,0.01,0,0,0,0,0.01
2023/4/1,32,0.92,0.01,0,0,0,0,0.01
2023/4/1,33,1.3,0.01,0,0,0,0,0.01
2023/4/1,34,1.96,1,0,0,0,0,1
