date,slot,action,battery_level_kWh,JEPX_prediction,JEPX_actual,EPRX1_prediction,EPRX1_actual,EPRX3_prediction,EPRX3_actual,imbalance,JEPX_PnL,EPRX1_PnL,EPRX3_PnL,Wheeling_charges,Total_Daily_PnL
2023/10/1,1,idle,0.0,9.88,10.0,0,0,0,0,10.0,0.0,0.0,0.0,0.0,0.0
2023/10/1,2,idle,0.0,8.92,10.31,0,0,0,0,10.31,0.0,0.0,0.0,0.0,0.0
2023/10/1,3,idle,0.0,9.35,10.31,0,0,0,0,10.31,0.0,0.0,0.0,0.0,0.0
2023/10/1,4,idle,0.0,8.9,10.05,0,0,0,0,10.05,0.0,0.0,0.0,0.0,0.0
2023/10/1,5,idle,0.0,10.54,10.55,0,0,0,0,10.55,0.0,0.0,0.0,0.0,0.0
2023/10/1,6,idle,0.0,11.2,10.63,0,0,0,0,10.63,0.0,0.0,0.0,0.0,0.0
2023/10/1,7,idle,0.0,11.02,10.63,0,0,0,0,10.63,0.0,0.0,0.0,0.0,0.0
2023/10/1,8,idle,0.0,11.19,10.63,0,0,0,0,10.63,0.0,0.0,0.0,0.0,0.0
2023/10/1,9,idle,0.0,12.63,10.75,0,0,0,0,10.75,0.0,0.0,0.0,0.0,0.0
2023/10/1,10,idle,0.0,11.41,10.63,0,0,0,0,10.63,0.0,0.0,0.0,0.0,0.0
2023/10/1,11,idle,0.0,10.94,10.6,0,0,0,0,10.6,0.0,0.0,0.0,0.0,0.0
2023/10/1,12,idle,0.0,12.24,10.75,0,0,0,0,10.75,0.0,0.0,0.0,0.0,0.0
2023/10/1,13,idle,0.0,11.24,10.55,0,0,0,0,10.55,0.0,0.0,0.0,0.0,0.0
2023/10/1,14,idle,0.0,9.03,9.82,0,0,0,0,9.82,0.0,0.0,0.0,0.0,0.0
2023/10/1,15,idle,0.0,8.17,7.51,0,0,0,0,7.51,0.0,0.0,0.0,0.0,0.0
2023/10/1,16,charge,1000.0,1.47,0.01,0,0,0,0,0.01,-10.309278350515465,0.0,0.0,0.0,-10.309278350515465
2023/10/1,17,idle,1000.0,2.38,0.01,0,0,0,0,0.01,0.0,0.0,0.0,0.0,0.0
2023/10/1,18,idle,1000.0,1.86,0.01,0,0,0,0,0.01,0.0,0.0,0.0,0.0,0.0
2023/10/1,19,idle,1000.0,1.54,0.01,0,0,0,0,0.01,0.0,0.0,0.0,0.0,0.0
2023/10/1,20,idle,1000.0,1.65,0.01,0,0,0,0,0.01,0.0,0.0,0.0,0.0,0.0
2023/10/1,21,charge,2000.0,1.17,0.01,0,0,0,0,0.01,-10.309278350515465,0.0,0.0,0.0,-10.309278350515465
2023/10/1,22,idle,2000.0,1.95,0.01,0,0,0,0,0.01,0.0,0.0,0.0,0.0,0.0
2023/10/1,23,idle,2000.0,1.78,0.01,0,0,0,0,0.01,0.0,0.0,0.0,0.0,0.0
2023/10/1,24,idle,2000.0,1.67,0.01,0,0,0,0,0.01,0.0,0.0,0.0,0.0,0.0
2023/10/1,25,charge,3000.0,1.44,0.01,0,0,0,0,0.01,-10.309278350515465,0.0,0.0,0.0,-10.309278350515465
2023/10/1,26,charge,4000.0,1.12,0.01,0,0,0,0,0.01,-10.309278350515465,0.0,0.0,0.0,-10.309278350515465
2023/10/1,27,charge,5000.0,1.15,0.01,0,0,0,0,0.01,-10.309278350515465,0.0,0.0,0.0,-10.309278350515465
2023/10/1,28,charge,6000.0,1.01,0.01,0,0,0,0,0.01,-10.309278350515465,0.0,0.0,0.0,-10.309278350515465
2023/10/1,29,charge,7000.0,1.35,0.01,0,0,0,0,0.01,-10.309278350515465,0.0,0.0,0.0,-10.309278350515465
2023/10/1,30,idle,7000.0,1.78,0.01,0,0,0,0,0.01,0.0,0.0,0.0,0.0,0.0
2023/10/1,31,idle,7000.0,1.83,0.01,0,0,0,0,0.01,0.0,0.0,0.0,0.0,0.0
2023/10/1,32,idle,7000.0,7.33,6.17,0,0,0,0,6.17,0.0,0.0,0.0,0.0,0.0
2023/10/1,33,idle,7000.0,10.42,10.31,0,0,0,0,10.31,0.0,0.0,0.0,0.0,0.0
2023/10/1,34,idle,7000.0,12.32,10.59,0,0,0,0,10.59,0.0,0.0,0.0,0.0,0.0
2023/10/1,35,idle,7000.0,12.92,10.69,0,0,0,0,10.69,0.0,0.0,0.0,0.0,0.0
2023/10/1,36,discharge,6000.0,13.23,10.76,0,0,0,0,10.76,10222.0,0.0,0.0,0.0,10222.0
2023/10/1,37,discharge,5000.0,14.14,10.75,0,0,0,0,10.75,10212.5,0.0,0.0,0.0,10212.5
2023/10/1,38,discharge,4000.0,14.32,10.75,0,0,0,0,10.75,10212.5,0.0,0.0,0.0,10212.5
2023/10/1,39,idle,4000.0,10.52,10.88,0,0,0,0,10.88,0.0,0.0,0.0,0.0,0.0
2023/10/1,40,discharge,3000.0,15.05,10.69,0,0,0,0,10.69,10155.5,0.0,0.0,0.0,10155.5
2023/10/1,41,discharge,2000.0,14.1,10.41,0,0,0,0,10.41,9889.5,0.0,0.0,0.0,9889.5
2023/10/1,42,idle,2000.0,11.34,7.0,0,0,0,0,7.0,0.0,0.0,0.0,0.0,0.0
2023/10/1,43,idle,2000.0,10.66,6.62,0,0,0,0,6.62,0.0,0.0,0.0,0.0,0.0
2023/10/1,44,discharge,1000.0,13.94,10.47,0,0,0,0,10.47,9946.5,0.0,0.0,0.0,9946.5
2023/10/1,45,discharge,0.0,13.06,10.55,0,0,0,0,10.55,10022.5,0.0,0.0,0.0,10022.5
2023/10/1,46,idle,0.0,10.94,10.0,0,0,0,0,10.0,0.0,0.0,0.0,0.0,0.0
2023/10/1,47,idle,0.0,10.95,9.66,0,0,0,0,9.66,0.0,0.0,0.0,0.0,0.0
